Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re9000.000_M0.00_N9.0, , 
-25,-0.7233126, ,-16.5,-0.8205709, ,-5,-0.09057773, ,-5,-0.09891235, , 
-24.5,-0.706748, ,-16,-1.155727, ,-4.5,-0.03342219, ,-4.5,-0.03964169, , 
-24,-0.6900914, ,-15.5,-1.190864, ,-4,0.02378626, ,-4,0.01973074, , 
-23.5,-0.6733164, ,-15,-1.156429, ,-3.5,0.08099343, ,-3,0.1384521, , 
-23,-0.6601894, ,-14.5,-1.110597, ,-3,0.1384873, ,-2.5,0.1978015, , 
-22.5,-0.6425378, ,-14,-1.058208, ,-2.5,0.1958374, ,-2,0.2571201, , 
-22,-0.6252779, ,-13.5,-1.010439, ,-2,0.253154, ,-1.5,0.3163698, , 
-21.5,-0.6081881, ,-13,-0.9596588, ,-1.5,0.3101549, ,-1,0.3755987, , 
-21,-0.5912477, ,-12.5,-0.9092726, ,-1,0.367865, ,0,0.4938286, , 
-20.5,-0.5744462, ,-12,-0.857567, ,-0.5,0.4251601, ,0.5,0.5528458, , 
-20,-0.5570907, ,-11.5,-0.8041958, ,0,0.4826249, ,1,0.6117764, , 
-19.5,-0.5399258, ,-11,-0.7510001, ,0.5,0.5399974, ,1.5,0.6705471, , 
-19,-0.5240532, ,-10.5,-0.6968442, ,1,0.5975494, ,2,0.7292543, , 
-18.5,-0.5085775, ,-10,-0.6430729, ,1.5,0.6544252, ,2.5,0.7878382, , 
-18,-0.4934747, ,-9.5,-0.5913324, ,2,0.7119825, ,3,0.846204, , 
-15.5,-0.439508, ,-9,-0.5370498, ,2.5,0.7678224, ,3.5,0.9044867, , 
-15,-0.4206166, ,-8.5,-0.4822549, ,3,0.8240888, ,4.5,1.020557, , 
-14.5,-0.4039525, ,-8,-0.4265152, ,3.5,0.8782773, ,5,1.078157, , 
-14,-0.3922825, ,-7.5,-0.3704839, ,4,0.926019, ,6.5,1.250041, , 
-13.5,-0.3818113, ,-7,-0.313683, ,4.5,0.9847641, ,7,1.306827, , 
-13,-0.3723038, ,-6.5,-0.2573536, ,5,1.036561, ,7.5,1.363345, , 
-12,-0.8493764, ,-6,-0.2011271, ,5.5,1.087346, ,8,1.419564, , 
-11.5,-0.8009468, ,-5.5,-0.1443607, ,6,1.136982, ,8.5,1.475466, , 
-11,-0.7369236, ,-5,-0.08752826, ,6.5,1.186577, ,9,1.530516, , 
-10.5,-0.6713939, ,-4.5,-0.03054719, ,7,1.23443, ,9.5,1.585593, , 
-10,-0.6161975, ,-4,0.02604101, ,7.5,1.2836, ,10,1.640275, , 
-9.5,-0.5585071, ,-3.5,0.08279047, ,8,1.332944, , , , , 
-9,-0.5046346, ,-3,0.1394263, ,8.5,1.381447, , , , , 
-8.5,-0.457692, ,-2.5,0.1960398, ,9,1.428556, , , , , 
-8,-0.4090185, ,-2,0.2528879, ,9.5,1.475993, , , , , 
-7.5,-0.3547387, ,-1.5,0.3096269, ,10,1.521032, , , , , 
-7,-0.300255, ,-1,0.3664806, , , , , , , , 
-6.5,-0.2461862, ,-0.5,0.4230609, , , , , , , , 
-6,-0.1915574, ,0,0.4794561, , , , , , , , 
-5.5,-0.1356119, ,0.5,0.5364795, , , , , , , , 
-5,-0.08045488, ,1,0.5928533, , , , , , , , 
-4.5,-0.02460377, ,2,0.7041269, , , , , , , , 
-4,0.03135513, ,2.5,0.7572531, , , , , , , , 
-3.5,0.0871898, ,3,0.8177858, , , , , , , , 
-3,0.1428386, ,3.5,0.8739894, , , , , , , , 
-2.5,0.1982197, ,4,0.9285115, , , , , , , , 
-1.5,0.3092319, ,4.5,0.9823137, , , , , , , , 
-1,0.3645405, ,5,1.035165, , , , , , , , 
-0.5,0.4198483, ,5.5,1.086014, , , , , , , , 
0,0.4745808, ,6,1.136507, , , , , , , , 
0.5,0.5273312, ,6.5,1.18322, , , , , , , , 
1,0.5742739, ,7,1.229648, , , , , , , , 
1.5,0.6445718, ,7.5,1.273923, , , , , , , , 
2,0.6985486, ,8,1.318661, , , , , , , , 
2.5,0.7521058, ,8.5,1.364223, , , , , , , , 
3,0.8061427, ,9,1.408925, , , , , , , , 
3.5,0.8603995, ,9.5,1.452796, , , , , , , , 
4,0.9143056, ,10,1.493554, , , , , , , , 
4.5,0.9683901, ,10.5,1.530947, , , , , , , , 
5,1.020651, ,11,1.563893, , , , , , , , 
5.5,1.07386, ,11.5,1.599544, , , , , , , , 
6,1.125563, ,12,1.63069, , , , , , , , 
6.5,1.175025, ,12.5,1.65797, , , , , , , , 
7,1.222905, ,13.5,1.713967, , , , , , , , 
7.5,1.265063, ,14,1.739567, , , , , , , , 
8,1.304998, ,14.5,1.760353, , , , , , , , 
8.5,1.340643, ,15,1.775626, , , , , , , , 
9,1.372703, ,15.5,1.786532, , , , , , , , 
9.5,1.403653, ,16,1.793306, , , , , , , , 
10,1.432877, ,16.5,1.796686, , , , , , , , 
10.5,1.462505, ,17,1.794381, , , , , , , , 
11,1.491467, ,17.5,1.797808, , , , , , , , 
11.5,1.514171, ,18,1.802096, , , , , , , , 
12,1.541009, ,18.5,1.804127, , , , , , , , 
12.5,1.563229, ,19,1.802233, , , , , , , , 
13,1.575031, ,19.5,1.79509, , , , , , , , 
13.5,1.589633, ,20,1.785562, , , , , , , , 
14,1.606993, ,20.5,1.77342, , , , , , , , 
14.5,1.619813, ,21,1.758626, , , , , , , , 
15,1.627556, ,21.5,1.740773, , , , , , , , 
15.5,1.627015, ,22,1.72205, , , , , , , , 
16,1.61504, ,22.5,1.701808, , , , , , , , 
16.5,1.589552, ,23,1.678782, , , , , , , , 
17,1.568694, ,23.5,1.651555, , , , , , , , 
17.5,1.56188, ,24,1.62269, , , , , , , , 
18,1.55306, ,24.5,1.592867, , , , , , , , 
18.5,1.542574, ,25,1.562094, , , , , , , , 
19,1.529835, , , , , , , , , , , 
19.5,1.516837, , , , , , , , , , , 
20,1.503596, , , , , , , , , , , 
20.5,1.490228, , , , , , , , , , , 
21,1.476445, , , , , , , , , , , 
21.5,1.461781, , , , , , , , , , , 
22,1.44723, , , , , , , , , , , 
22.5,1.432905, , , , , , , , , , , 
23,1.419031, , , , , , , , , , , 
23.5,1.404, , , , , , , , , , , 
24,1.386029, , , , , , , , , , , 
24.5,1.364985, , , , , , , , , , , 
25,1.337676, , , , , , , , , , , 
